1567–1643 	Claudio Monteverdi
1685–1750 	Johann Sebastian Bach
1756–1791 	Wolfgang Amadeus Mozart
1770–1827 	Ludwig van Beethoven
1797–1828	Franz Schubert 
1810–1849	Frédéric Chopin
1810–1856	Robert Schumann
1813–1883 	Richard Wagner
1833–1897 	Johannes Brahms
1862–1918	Claude Debussy
1874–1951 	Arnold Schönberg
1881–1945 	Béla Bartók
1882–1971 	Igor Strawinsky
1892–1955 	Arthur Honegger
1895–1963	Paul Hindemith
1908–1992	Olivier Messiaen
